,id,tweet,label
27,1510219308839755776,"@CorleoneCorp KUNCI COIN are hidden gems, with many utilites and great developer. Visit my bio to get whitepaper. PUMP🚀 $KUNCI #KUNCIARMY #KUNCICOIN #altcoin #1000xgem #DYOR #community #Kuncicoin_id #KUNCIBITMARTLISTING #KUNCIBITRUELISTING",
28,1510219308789829634,"We are about to witness massive short squeeze and massive upside #Bitcoin move. #ICP #Binance #BTC

Within few hours we are going to the moon again. 🚀

I’ve been following &amp; taking @cryptocharts_M tweets and every single tips seriously I’ve  been doing superb #ETH #NFTs 😭",
29,1510219288313057281,"The latest #bitcoin block 730102 with 3196 transactions was just mined by F2Pool
Total Fees:0.15402815
Block Subsidy:6.25
#Bitcoin #BTC #blockchain #analysis",
30,1510219277026365442,"We are about to witness massive short squeeze and massive upside #Bitcoin move. #ICP #Binance #BTC

Within few hours we are going to the moon again. 🚀

I’ve been following &amp; taking @cryptocharts_M tweets and every single tips seriously I’ve  been doing superb #ETH #NFTs 🙂",
31,1510219273305825280,#BNBToTheMoon Hold. Buy. Hold. Buy. Hold. The only formula to get #BNBcoin to moon. Follow us for more updates and next crypto coin pump. Coin name will be shortly announced on telegram only. Link is provided in the profile description #BTC #BNB #ETH #BNBarmy,
32,1510219259548373001,"@Nftgreen0 KUNCI COIN are hidden gems, with many utilites and great developer. Visit my bio to get whitepaper. PUMP🚀 $KUNCI #KUNCIARMY #KUNCICOIN #altcoin #1000xgem #DYOR #community #Kuncicoin_id #KUNCIBITMARTLISTING #KUNCIBITRUELISTING",
33,1510219259158405123,"Current Bitcoin Price:
USD $46,656.99
GBP £35,576.66
Euro €42,242.63
#bitcoin #btc $btc #btcusd #btcgbp #btceur #crypto #cryptocurrency",
34,1510219258554470400,@WhoRskin Yous eyes 👀 #btc,
35,1510219258374287361,@SOREX_IO #Sorex #sorexIO #airdrop #eth #bsc #avax #ftm #crypto #Wonderful project with cool plan. This project completing every step according their plan. This project deserve your attention.  .,
36,1510219255530528770,"We are about to witness massive short squeeze and massive upside #Bitcoin move. #ICP #Binance #BTC

Within few hours we are going to the moon again. 🚀

I’ve been following &amp; taking @cryptocharts_M tweets and every single tips seriously I’ve  been doing superb #ETH #NFTs 😁",
37,1510219250459414530,"🔔Price updates for different #crypto assets that get price predictions on 🦥SlothTrading:

#BTC: $46,639.98
#AVA: $1.827
#BNB: $449.20
#ADA: $1.189
#DOGE: $0.1435

💥New predictions every hour",
38,1510219247053680641,"#Ukraine's largest #exchange, #Kuna, says #crypto has been vital during #Russia #invasion. #Crypto #cryptonews #kingdavidcoins",
39,1510219240921575429,"Top 10 #Cryptocurrency Live Prices: 
(07:35 AM . Apr 02,2022)

#BTC $46623.60
#ETH $3487.69
#BNB $449.27
#DOGE $0.14
#SHIB $0.0000271107
#AXS $70.67
#MANA $2.75
#UNI $11.90
#GM $0.0000316075
#KISHU $0.0000000017

Comments! Which coins would like to be listed?",
40,1510219236786196481,"We are about to witness massive short squeeze and massive upside #Bitcoin move. #ICP #Binance #BTC

Within few hours we are going to the moon again. 🚀

I’ve been following &amp; taking @cryptocharts_M tweets and every single tips seriously I’ve  been doing superb #ETH #NFTs ❣️",
41,1510219221749444610,"@BP1023 @ayucharlottee @KibaInuWorld @kibajoker @FrankLambeek @salyB_ @KibaGirls @KibaKrew Boom Boom Time 
#ETH 
👀👀",
42,1510219220000260100,"@SyambalaRia KUNCI COIN are hidden gems, with many utilites and great developer. Visit my bio to get whitepaper. PUMP🚀 $KUNCI #KUNCIARMY #KUNCICOIN #altcoin #1000xgem #DYOR #community #Kuncicoin_id #KUNCIBITMARTLISTING #KUNCIBITRUELISTING",
43,1510219219925110786,"We are about to witness massive short squeeze and massive upside #Bitcoin move. #ICP #Binance #BTC

Within few hours we are going to the moon again. 🚀

I’ve been following &amp; taking @cryptocharts_M tweets and every single tips seriously I’ve  been doing superb #ETH #NFTs 😊",
44,1510219204800258053,"&lt;&lt;#BTC ALL TIME HIGH IN APRIL?
👇&gt;&gt; #BTC",
45,1510219203294670851,"We are about to witness massive short squeeze and massive upside #Bitcoin move. #ICP #Binance #BTC

Within few hours we are going to the moon again. 🚀

I’ve been following &amp; taking @cryptocharts_M tweets and every single tips seriously I’ve  been doing superb #ETH #NFTs 💓",
