,id,tweet,label
0,1506229384721547268,"@club_let @BCdoyouSi @Hansiebear1 @CryptoRedempti1 @UpholdInc I didn't call her, I said losing $500 was a bit sus, as in suspicious, as in maybe she has been scammed somewhere. And I have nothing against xrp, but telling a novice to invest in a coin that is very unstable is not good practice. You are right, but I stated selling as an issue",
1,1506229265368506371,"The $THC from @ThetanArena is now at $0.0115 
📉 Is down -0.547% compare to 1 hour ago
📉 And is down -3.262% compare to 1 week ago
 #BTC #ETH #SLP #THC",
2,1506228943862571012,"📉#BTC | Decreasing 2.17%
Average price for the last hour: BTCUSDT - 42576.6571",
3,1506228501149540352,"#Anonymous #Bitcoin #BBMzansi  #BTC #BSC 
#BTSV #BTS #BTSARMY #cryptocurrency #DeFi  
#Ukraine has a good honest actor as President!
#America has a bad corrupt clown as President.
#DementiaJoe hired a maid #Kamala. Now, #AuntJemima 4 #Supreme Court. #Diversity! Where's #Rachael.",
4,1506227987234299906,Looking at your #crypto portfolio during bear market is like looking down at scales when you know you are gaining weight. You know u'll be dissapointed but still cheking at it all the time.,
5,1506227859991711744,"@GateioFutures It is an opportunity, because when the market corrects down, there will usually be a lot of waves for us to trade, creating more opportunities to make more profits.
#GateioFutures #Gateio  #Futures #Crypto #Quiz 
@Firmantha7 @JAB_NeoNomadNNI @hoangthach0709",
6,1506227689941700614,"Bitcoin has crossed $42K and the Fear and Greed Index is still within the fear range. What's more bullish than this?

#Hodl #crypto #trading #Ethereum #Bitcoin",
7,1506227351583363078,@BurningMaroo @TheReaperCoin my bad. i actually have one more xD but i have most of my xrp in there 👀🔥,
8,1506226491985702916,"🕵🚀💸 Tue, 22 Mar 2022 11:09:14 GMT - TOP 10 - $BTC: $42,818.00 +0.81% | $ETH: $3,017.10 +0.42% | $USDT: $1.00 +0.04% | $BNB: $406.02 +0.3% | $USDC: $1.00 -0.06% | $XRP: $0.85 +0.46% | $LUNA: $93.34 +0.34% | $SOL: $91.52 +1.03% | $ADA: $0.95 +0.45% | $AVAX: $88.59 +0.65% |",
9,1506226216226988032,@Crypto__Diva $ETH but hey you can get #ETH #StakingRewards if you #HODL $ACAP by @alphacap_io - also check out $APAD by @AlphaPad1,
10,1506225321921871881,"Which of these #altcoins can you HODL comfortably for 5 years 💎🤲🏻
   
#Cardano
#Avax 
#Solana    
#Polygon 
#BNB      
#NFTBOOKS 
#KISHU 
#XRP 
#TEZOS
#KASTA⚡️
#LUNA
#FEG
#MONSTA 
#MANA
#ETH
#_______

Let everyone know in the comments👀",
11,1506225263893524484,"Today I saw a licenseplate in Belgium “BTCBULL” - @QuintenFrancois maybe you? 😅 Too bad I was driving myself to take a picture. I loved it, was smiling. #btcBull #Bitcoin #Customlicenseplate #Btc #Bull #BuyBitcoin",
12,1506224659049635847,"Biggest losers this past hour 📉 (follow for hourly updates)
$CITY ➡️ -6.1%
$VITE ➡️ -2.81%
$RAD ➡️ -1.79%
$GMT ➡️ -1.76%
$ERN ➡️ -1.59%
(22/03/2022 @ 11:00am GMT)
#crypto #cryptomarket #cryptotrading #TRADINGTIPS #tradingsignals",
13,1506224653345382400,"@SimonDixonTwitt Yep, getting bad over here..... BUT I am protecting myself with XRP, Gold and Silver. 😀",
14,1506224648341671940,"Strongest #MACD #sellsignals this hour 📉 (follow for hourly updates)
$DCR ➡️ -0.019 %
EMA12 crossed below EMA26 (difference / close price in %) 22/03/2022 @ 11:00am GMT
#crypto #cryptomarket #cryptotrading #TRADINGTIPS #tradingsignals",
15,1506224275153375237,@ProCoinNews I never give up on it I HODL $XRP,
16,1506224208984088585,THERE IS NO REASON TO FEEL BAD ABOUT SHILLING WHAT YOU BELIEVE IN. WANT TO PROTECT YOUR $SHINJA INVESTMENT? WELL THERE IS NO BETTER WAY TO DO SO THAN TO SPREAD THE WORD. #SHINJA #CryptoNews #Cryptocurrency #100xgem #Shibnobi #1000xgem #CRYPTO #SHINJA2022,
17,1506223233498230784,"Trimming some $ONE here @ 50%, at resistance and our long term entry point, hoping for a break but will trim to reduce risk 👍

#trading #futures #crypto",
18,1506220815074922496,"Top 5 #crypto prices with 24h change:

#BTC #ETH #BNB #XRP #LUNA 

🟢 $BTC $42816.29 (3.64%)
🟢 $ETH $3016.98 (3.72%)
🟢 $BNB $406.2 (2.89%)
🟢 $XRP $0.8487 (4.49%)
🔴 $LUNA $93.32 (-2.58%)

Do you #hodl any of these coins?",
19,1506220682841100293,"@VitaInuCoin @Huobi_India Coin with zero fess&amp; instant speed, we love #vinu #vitainu 

#vinumexclisting #binance   #Bitcoin   #BTC   #BNB   #BSC #altcoins #cyrpto #DAO #ETH #Ethereum #xrp #MEXC #RACA #Ripple #USDT #AVAX   #shiba #doge #SHIB #HODL #LUNA #Metaverse #VINU #BabyDoge",
20,1506220438489538560,"$CRYP ETF is down 45% since inception in Nov 2021

It doesn’t invest in crypto currencies, but rather in the publicly listed infrastructure of the defi world 

Maybe it can claw its way back. Worth a look, not nearly as volatile as #BTC",
21,1506219596268781573,"@TheCryptoLark Choosing the right investment strategy can reduce your risk and
make the most of your money. I have made over 2.3 #BTC profit this year regardless the market condition not just by buying the dip but understanding &amp; implementing trade with signals supplied by @Stella_Olsen1",
22,1506219394875150348,"@PeteSessions Choosing the right investment strategy can reduce your risk and
make the most of your money. I have made over 2.3 #BTC profit this year regardless the market condition not just by buying the dip but understanding &amp; implementing trade with signals supplied by @Stella_Olsen1",
23,1506218959217074180,"@MartiniGuyYT Choosing the right investment strategy can reduce your risk and
make the most of your money. I have made over 2.3 #BTC profit this year regardless the market condition not just by buying the dip but understanding &amp; implementing trade with signals supplied by @Stella_Olsen1",
24,1506218909904605189,"to the Court that XRP is not a security, the letter added

Seeking an extension or calling the summary judgment premature is another delay tactic used by the commission, Ripple said, adding that the SEC is trying slow down the case as it approaches its final phase.⏱️💎",
25,1506218883337781251,In my humble opinion in this bull run XRP will reach $17 usd then back down to 52c usd after the crash within a two year period where I intend to load up again if I’m right.,
26,1506218772235014144,"@AltcoinDailyio Choosing the right investment strategy can reduce your risk and
make the most of your money. I have made over 2.3 #BTC profit this year regardless the market condition not just by buying the dip but understanding &amp; implementing trade with signals supplied by @Stella_Olsen1",
27,1506218537869844488,"@WatcherGuru Choosing the right investment strategy can reduce your risk and
make the most of your money. I have made over 2.3 #BTC profit this year regardless the market condition not just by buying the dip but understanding &amp; implementing trade with signals supplied by @Stella_Olsen1",
28,1506216748030341120,"The $SLP from @AxieInfinity is now at $0.01794 
📉 Is down -0.158% compare to 1 hour ago
📈 and is up 12.917% compare to 1 week ago
 #BTC #ETH #SLP",
29,1506216465992921090,"From April this year, cryptocurrency gains will be taxed at 30% – which is the highest tax bracket, and the same rate as lottery winnings. This would apply to all “virtual digital assets,” right from #Bitcoin to #ETH and related earnings. @cryptocharts_M

#cryptocurrency
📉😍",
30,1506216023447515139,"All kinds of investments involves risk except investing in yourself, there's no loss in it. Stock trading/investment is the easiest way to ur financial breakthrough. Learn stock trading now and thank me later. #dangote #lekki #investing #trading #cryptocurrency #stockmarket.",
31,1506215774230392835,"@rovercrc Choosing the right investment strategy can reduce your risk and
make the most of your money. I have made over 2.3 #BTC profit this year regardless the market condition not just by buying the dip but understanding &amp; implementing trade with signals supplied by @Stella_Olsen1",
